WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
WARNING (010890): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010892): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010894): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010896): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010898): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010900): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010902): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010904): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010906): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010908): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010910): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010912): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010914): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010916): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010918): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010920): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010922): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010924): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010926): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010928): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010930): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010932): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010934): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010936): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010938): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010940): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010942): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010944): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010946): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010948): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010950): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010952): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010954): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010956): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010958): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010960): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010962): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010964): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010966): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010968): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010970): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010972): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010974): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010976): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010978): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010980): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010982): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010984): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010986): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010988): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010990): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010992): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010994): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010996): XRECORD object group 310 unknown/not supported - ignored.
WARNING (010998): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011000): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011002): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011004): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011006): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011008): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011010): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011012): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011014): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011016): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011018): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011020): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011022): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011024): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011026): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011028): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011030): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011032): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011034): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011036): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011038): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011040): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011042): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011044): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011046): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011048): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011050): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011052): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011054): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011056): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011058): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011060): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011062): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011064): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011066): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011068): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011070): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011072): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011074): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011076): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011078): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011080): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011082): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011084): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011086): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011088): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011090): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011092): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011094): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011096): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011098): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011100): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011102): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011104): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011106): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011108): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011110): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011112): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011114): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011116): XRECORD object group 310 unknown/not supported - ignored.
WARNING (011118): XRECORD object group 310 unknown/not supported - ignored.
