Category,References,Value,Stock Code,Unit Cost,ROHS Compliant,contains visual
Capacitors,C1,500u,Digikey 399-3054-2-ND,,,
Capacitors,C2,500u,Digikey 399-3054-2-ND,,,
Capacitors,C3,500u,Digikey 399-3054-2-ND,,,
Capacitors,C4,100n,Digikey 493-5955-ND,,,
Capacitors,C7,4u7,Digikey P996-ND,,,
Resistors,R1,300,Digikey RT0805WRB07300RL-ND,,,
Resistors,R2,680,Digikey P150XTR-ND,,,
Resistors,R3,390R,M390R,,,
Resistors,R4,300,Digikey RT0805WRB07300RL-ND,,,
Resistors,R5,300,Digikey RT0805WRB07300RL-ND,,,
Resistors,R6,300,Digikey RT0805WRB07300RL-ND,,,
Resistors,R7,100,Digikey P150XTR-ND,,,
Resistors,R8,3.3k,Digikey P150XTR-ND,,,
Resistors,R9,27k,Digikey P150XTR-ND,,,
Resistors,R10,39,Digikey P150XTR-ND,,,
Integrated Circuits,U2,555,,,,
Integrated Circuits,U4,"LM1117T-3,3",,,,
Integrated Circuits,U5,RST,,,,
Transistors,Q1,2N2222A,,,,
Diodes,D1,1N5232B,,,,
Diodes,D2,LED SMD,,,,
Diodes,D3,1N4001,,,,
Diodes,D5,LED SMD,,,,
Diodes,D6,LED SMD,,,,
Diodes,D7,LED SMD,,,,
Diodes,D8,LED SMD,,,,
Diodes,D10,1N4001,,,,
Miscellaneous,J1,FAN CONNECTOR,,,,
Miscellaneous,J3,CONN-SIL6,,,,
Miscellaneous,J4,SIM7100611501A_REVC,,,,
Miscellaneous,MAIN,ESP32S3WROOM1N8R8,,,,
Miscellaneous,RV1,TRIMMER POT1 20k,,,,
Miscellaneous,RV2,TRIMMER POT 2 20k,,,,
Miscellaneous,USBA,USBRBSFOVT,,,,
